TicketID,Description,Category
1,Why was extra delivery charge added?,Billing Issue
2,Unable to update my profile in the app,Technical Problem
3,Courier details are not updating,Order Status
4,What are your customer care working hours?,General Query
5,I was charged twice for my order,Billing Issue
6,OTP is not being received for login,Technical Problem
7,How can I track my current order?,Order Status
8,Is there any student discount available?,General Query
9,Transaction failed but balance deducted from my account,Billing Issue
10,Website stuck at payment page,Technical Problem
11,Why is my delivery date postponed?,Order Status
12,How do I check my Flipkart SuperCoins balance?,General Query
13,Refund initiated but not reflecting in my bank account,Billing Issue
14,Website not loading on my laptop,Technical Problem
15,Courier details are not updating,Order Status
16,Can I schedule delivery at a specific time?,General Query
17,Refund initiated but not reflecting in my bank account,Billing Issue
18,Search function not working properly,Technical Problem
19,Why is my delivery date postponed?,Order Status
20,Is there any student discount available?,General Query
21,I was charged twice for my order,Billing Issue
22,Unable to update my profile in the app,Technical Problem
23,Courier details are not updating,Order Status
24,What are your customer care working hours?,General Query
25,Cashback not credited to my wallet,Billing Issue
26,Search function not working properly,Technical Problem
27,Estimated delivery keeps changing,Order Status
28,Do you offer gift wrapping service?,General Query
29,Payment gateway error during checkout,Billing Issue
30,App shows error while placing order,Technical Problem
31,My tracking ID shows delivered but I did not get the package,Order Status
32,How do I change my registered phone number?,General Query
33,My EMI payment failed but money was debited,Billing Issue
34,Unable to update my profile in the app,Technical Problem
35,Courier details are not updating,Order Status
36,Do you offer gift wrapping service?,General Query
37,Cashback not credited to my wallet,Billing Issue
38,Cart is not updating when I add items,Technical Problem
39,When will my shoes be shipped?,Order Status
40,What are your customer care working hours?,General Query
41,Why am I seeing wrong bill amount in my invoice?,Billing Issue
42,App shows error while placing order,Technical Problem
43,How can I track my current order?,Order Status
44,Do you deliver to small towns in Tamil Nadu?,General Query
45,Why am I seeing wrong bill amount in my invoice?,Billing Issue
46,OTP is not being received for login,Technical Problem
47,Where is my mobile order? It is delayed,Order Status
48,What is Flipkart Plus membership?,General Query
49,I was charged twice for my order,Billing Issue
50,App shows error while placing order,Technical Problem
51,Courier details are not updating,Order Status
52,Do you provide installation service for appliances?,General Query
53,My EMI payment failed but money was debited,Billing Issue
54,OTP is not being received for login,Technical Problem
55,Where is my mobile order? It is delayed,Order Status
56,Do you deliver to small towns in Tamil Nadu?,General Query
57,Transaction failed but balance deducted from my account,Billing Issue
58,Login page keeps refreshing automatically,Technical Problem
59,Package is in transit for too long,Order Status
60,How do I check my Flipkart SuperCoins balance?,General Query
61,Payment deducted but order not confirmed,Billing Issue
62,The Flipkart app crashes on checkout,Technical Problem
63,Order stuck at warehouse for 3 days,Order Status
64,How do I change my registered phone number?,General Query
65,My EMI payment failed but money was debited,Billing Issue
66,Cart is not updating when I add items,Technical Problem
67,When will my shoes be shipped?,Order Status
68,Do you deliver to small towns in Tamil Nadu?,General Query
69,Transaction failed but balance deducted from my account,Billing Issue
70,Unable to update my profile in the app,Technical Problem
71,Order stuck at warehouse for 3 days,Order Status
72,Can I schedule delivery at a specific time?,General Query
73,Payment deducted but order not confirmed,Billing Issue
74,I cannot login with my mobile number,Technical Problem
75,Where is my mobile order? It is delayed,Order Status
76,What is Flipkart Plus membership?,General Query
77,Refund initiated but not reflecting in my bank account,Billing Issue
78,Website stuck at payment page,Technical Problem
79,Order stuck at warehouse for 3 days,Order Status
80,How do I change my registered phone number?,General Query
81,Payment gateway error during checkout,Billing Issue
82,App shows error while placing order,Technical Problem
83,Delivery agent marked order delivered but I did not receive it,Order Status
84,Do you provide installation service for appliances?,General Query
85,Why was extra delivery charge added?,Billing Issue
86,I cannot login with my mobile number,Technical Problem
87,Where is my mobile order? It is delayed,Order Status
88,How do I change my registered phone number?,General Query
89,Transaction failed but balance deducted from my account,Billing Issue
90,I cannot login with my mobile number,Technical Problem
91,Order stuck at warehouse for 3 days,Order Status
92,Do you provide installation service for appliances?,General Query
93,Transaction failed but balance deducted from my account,Billing Issue
94,I cannot login with my mobile number,Technical Problem
95,When will my shoes be shipped?,Order Status
96,Is there any student discount available?,General Query
97,Payment deducted but order not confirmed,Billing Issue
98,Website stuck at payment page,Technical Problem
99,Estimated delivery keeps changing,Order Status
100,Do you offer gift wrapping service?,General Query
101,My EMI payment failed but money was debited,Billing Issue
102,App shows error while placing order,Technical Problem
103,Delivery agent marked order delivered but I did not receive it,Order Status
104,How do I change my registered phone number?,General Query
105,My EMI payment failed but money was debited,Billing Issue
106,Website not loading on my laptop,Technical Problem
107,How can I track my current order?,Order Status
108,Is there any student discount available?,General Query
109,Payment gateway error during checkout,Billing Issue
110,Website not loading on my laptop,Technical Problem
111,Estimated delivery keeps changing,Order Status
112,What is Flipkart Plus membership?,General Query
113,My EMI payment failed but money was debited,Billing Issue
114,App shows error while placing order,Technical Problem
115,Delivery agent marked order delivered but I did not receive it,Order Status
116,Do you deliver to small towns in Tamil Nadu?,General Query
117,Refund initiated but not reflecting in my bank account,Billing Issue
118,I cannot login with my mobile number,Technical Problem
119,Why is my delivery date postponed?,Order Status
120,What is Flipkart Plus membership?,General Query
121,Transaction failed but balance deducted from my account,Billing Issue
122,App shows error while placing order,Technical Problem
123,Package is in transit for too long,Order Status
124,Do you provide installation service for appliances?,General Query
125,Transaction failed but balance deducted from my account,Billing Issue
126,Website stuck at payment page,Technical Problem
127,Where is my mobile order? It is delayed,Order Status
128,Do you provide installation service for appliances?,General Query
129,Refund initiated but not reflecting in my bank account,Billing Issue
130,Unable to update my profile in the app,Technical Problem
131,Estimated delivery keeps changing,Order Status
132,How do I change my registered phone number?,General Query
133,Payment gateway error during checkout,Billing Issue
134,Website not loading on my laptop,Technical Problem
135,Estimated delivery keeps changing,Order Status
136,How can I become a Flipkart Plus member?,General Query
137,Why was extra delivery charge added?,Billing Issue
138,Login page keeps refreshing automatically,Technical Problem
139,Delivery agent marked order delivered but I did not receive it,Order Status
140,Do you provide installation service for appliances?,General Query
141,Transaction failed but balance deducted from my account,Billing Issue
142,Cart is not updating when I add items,Technical Problem
143,Package is in transit for too long,Order Status
144,Do you provide installation service for appliances?,General Query
145,I was charged twice for my order,Billing Issue
146,Website not loading on my laptop,Technical Problem
147,My tracking ID shows delivered but I did not get the package,Order Status
148,How do I change my registered phone number?,General Query
149,Refund not yet received for cancelled product,Billing Issue
150,Website not loading on my laptop,Technical Problem
151,Order stuck at warehouse for 3 days,Order Status
152,How do I change my registered phone number?,General Query
153,Cashback not credited to my wallet,Billing Issue
154,Unable to update my profile in the app,Technical Problem
155,Order stuck at warehouse for 3 days,Order Status
156,How do I change my registered phone number?,General Query
157,Payment gateway error during checkout,Billing Issue
158,App shows error while placing order,Technical Problem
159,Where is my mobile order? It is delayed,Order Status
160,How can I become a Flipkart Plus member?,General Query
161,My EMI payment failed but money was debited,Billing Issue
162,Website not loading on my laptop,Technical Problem
163,Courier details are not updating,Order Status
164,How do I check my Flipkart SuperCoins balance?,General Query
165,My EMI payment failed but money was debited,Billing Issue
166,Cart is not updating when I add items,Technical Problem
167,My tracking ID shows delivered but I did not get the package,Order Status
168,What is Flipkart Plus membership?,General Query
169,My EMI payment failed but money was debited,Billing Issue
170,Cart is not updating when I add items,Technical Problem
171,Delivery agent marked order delivered but I did not receive it,Order Status
172,Do you offer gift wrapping service?,General Query
173,Payment gateway error during checkout,Billing Issue
174,App shows error while placing order,Technical Problem
175,Courier details are not updating,Order Status
176,Do you deliver to small towns in Tamil Nadu?,General Query
177,Payment deducted but order not confirmed,Billing Issue
178,Unable to update my profile in the app,Technical Problem
179,Estimated delivery keeps changing,Order Status
180,What is Flipkart Plus membership?,General Query
181,Cashback not credited to my wallet,Billing Issue
182,Search function not working properly,Technical Problem
183,Where is my mobile order? It is delayed,Order Status
184,What are your customer care working hours?,General Query
185,Why am I seeing wrong bill amount in my invoice?,Billing Issue
186,Website stuck at payment page,Technical Problem
187,Why is my delivery date postponed?,Order Status
188,Do you deliver to small towns in Tamil Nadu?,General Query
189,Why am I seeing wrong bill amount in my invoice?,Billing Issue
190,App shows error while placing order,Technical Problem
191,My tracking ID shows delivered but I did not get the package,Order Status
192,How do I change my registered phone number?,General Query
193,Transaction failed but balance deducted from my account,Billing Issue
194,The Flipkart app crashes on checkout,Technical Problem
195,Where is my mobile order? It is delayed,Order Status
196,Is there any student discount available?,General Query
197,Why was extra delivery charge added?,Billing Issue
198,The Flipkart app crashes on checkout,Technical Problem
199,Why is my delivery date postponed?,Order Status
200,What are your customer care working hours?,General Query
201,Transaction failed but balance deducted from my account,Billing Issue
202,I cannot login with my mobile number,Technical Problem
203,My tracking ID shows delivered but I did not get the package,Order Status
204,Do you offer gift wrapping service?,General Query
205,Transaction failed but balance deducted from my account,Billing Issue
206,Cart is not updating when I add items,Technical Problem
207,Package is in transit for too long,Order Status
208,How do I check my Flipkart SuperCoins balance?,General Query
209,Why was extra delivery charge added?,Billing Issue
210,Cart is not updating when I add items,Technical Problem
211,Delivery agent marked order delivered but I did not receive it,Order Status
212,How do I check my Flipkart SuperCoins balance?,General Query
213,Refund not yet received for cancelled product,Billing Issue
214,OTP is not being received for login,Technical Problem
215,Order stuck at warehouse for 3 days,Order Status
216,Do you deliver to small towns in Tamil Nadu?,General Query
217,Cashback not credited to my wallet,Billing Issue
218,I cannot login with my mobile number,Technical Problem
219,Courier details are not updating,Order Status
220,How do I check my Flipkart SuperCoins balance?,General Query
221,Why am I seeing wrong bill amount in my invoice?,Billing Issue
222,Website not loading on my laptop,Technical Problem
223,Courier details are not updating,Order Status
224,Is there any student discount available?,General Query
225,Refund initiated but not reflecting in my bank account,Billing Issue
226,Cart is not updating when I add items,Technical Problem
227,My tracking ID shows delivered but I did not get the package,Order Status
228,How do I check my Flipkart SuperCoins balance?,General Query
229,My EMI payment failed but money was debited,Billing Issue
230,Cart is not updating when I add items,Technical Problem
231,My tracking ID shows delivered but I did not get the package,Order Status
232,Do you provide installation service for appliances?,General Query
233,My EMI payment failed but money was debited,Billing Issue
234,App shows error while placing order,Technical Problem
235,Package is in transit for too long,Order Status
236,What are your customer care working hours?,General Query
237,Why am I seeing wrong bill amount in my invoice?,Billing Issue
238,Login page keeps refreshing automatically,Technical Problem
239,Where is my mobile order? It is delayed,Order Status
240,Can I schedule delivery at a specific time?,General Query
241,Refund not yet received for cancelled product,Billing Issue
242,I cannot login with my mobile number,Technical Problem
243,Estimated delivery keeps changing,Order Status
244,Do you provide installation service for appliances?,General Query
245,I was charged twice for my order,Billing Issue
246,Website not loading on my laptop,Technical Problem
247,Estimated delivery keeps changing,Order Status
248,What is Flipkart Plus membership?,General Query
249,My EMI payment failed but money was debited,Billing Issue
250,Login page keeps refreshing automatically,Technical Problem
251,Why is my delivery date postponed?,Order Status
252,Do you offer gift wrapping service?,General Query
253,My EMI payment failed but money was debited,Billing Issue
254,Cart is not updating when I add items,Technical Problem
255,Package is in transit for too long,Order Status
256,Do you deliver to small towns in Tamil Nadu?,General Query
257,My EMI payment failed but money was debited,Billing Issue
258,Website stuck at payment page,Technical Problem
259,Courier details are not updating,Order Status
260,Do you deliver to small towns in Tamil Nadu?,General Query
261,I was charged twice for my order,Billing Issue
262,Website not loading on my laptop,Technical Problem
263,My tracking ID shows delivered but I did not get the package,Order Status
264,Do you offer gift wrapping service?,General Query
265,Refund initiated but not reflecting in my bank account,Billing Issue
266,Login page keeps refreshing automatically,Technical Problem
267,Order stuck at warehouse for 3 days,Order Status
268,Do you deliver to small towns in Tamil Nadu?,General Query
269,My EMI payment failed but money was debited,Billing Issue
270,Login page keeps refreshing automatically,Technical Problem
271,Package is in transit for too long,Order Status
272,Do you provide installation service for appliances?,General Query
273,Why was extra delivery charge added?,Billing Issue
274,Cart is not updating when I add items,Technical Problem
275,Package is in transit for too long,Order Status
276,What are your customer care working hours?,General Query
277,Why am I seeing wrong bill amount in my invoice?,Billing Issue
278,Website not loading on my laptop,Technical Problem
279,My tracking ID shows delivered but I did not get the package,Order Status
280,How do I change my registered phone number?,General Query
281,I was charged twice for my order,Billing Issue
282,Login page keeps refreshing automatically,Technical Problem
283,Estimated delivery keeps changing,Order Status
284,Do you deliver to small towns in Tamil Nadu?,General Query
285,My EMI payment failed but money was debited,Billing Issue
286,Search function not working properly,Technical Problem
287,Why is my delivery date postponed?,Order Status
288,What is Flipkart Plus membership?,General Query
289,Why am I seeing wrong bill amount in my invoice?,Billing Issue
290,The Flipkart app crashes on checkout,Technical Problem
291,How can I track my current order?,Order Status
292,Is there any student discount available?,General Query
293,Transaction failed but balance deducted from my account,Billing Issue
294,Website not loading on my laptop,Technical Problem
295,My tracking ID shows delivered but I did not get the package,Order Status
296,Is there any student discount available?,General Query
297,Why was extra delivery charge added?,Billing Issue
298,Cart is not updating when I add items,Technical Problem
299,Package is in transit for too long,Order Status
300,How can I become a Flipkart Plus member?,General Query
301,Transaction failed but balance deducted from my account,Billing Issue
302,The Flipkart app crashes on checkout,Technical Problem
303,Courier details are not updating,Order Status
304,Is there any student discount available?,General Query
305,Cashback not credited to my wallet,Billing Issue
306,Search function not working properly,Technical Problem
307,How can I track my current order?,Order Status
308,How do I change my registered phone number?,General Query
309,Why am I seeing wrong bill amount in my invoice?,Billing Issue
310,Website not loading on my laptop,Technical Problem
311,My tracking ID shows delivered but I did not get the package,Order Status
312,Can I schedule delivery at a specific time?,General Query
313,I was charged twice for my order,Billing Issue
314,Unable to update my profile in the app,Technical Problem
315,Delivery agent marked order delivered but I did not receive it,Order Status
316,How can I become a Flipkart Plus member?,General Query
317,Payment gateway error during checkout,Billing Issue
318,Website stuck at payment page,Technical Problem
319,When will my shoes be shipped?,Order Status
320,Is there any student discount available?,General Query
321,I was charged twice for my order,Billing Issue
322,Unable to update my profile in the app,Technical Problem
323,Package is in transit for too long,Order Status
324,Do you provide installation service for appliances?,General Query
325,My EMI payment failed but money was debited,Billing Issue
326,Website not loading on my laptop,Technical Problem
327,Where is my mobile order? It is delayed,Order Status
328,How do I change my registered phone number?,General Query
329,Payment gateway error during checkout,Billing Issue
330,Search function not working properly,Technical Problem
331,How can I track my current order?,Order Status
332,Do you offer gift wrapping service?,General Query
333,Payment deducted but order not confirmed,Billing Issue
334,I cannot login with my mobile number,Technical Problem
335,Courier details are not updating,Order Status
336,Is there any student discount available?,General Query
337,My EMI payment failed but money was debited,Billing Issue
338,Unable to update my profile in the app,Technical Problem
339,When will my shoes be shipped?,Order Status
340,Do you offer gift wrapping service?,General Query
341,Why was extra delivery charge added?,Billing Issue
342,The Flipkart app crashes on checkout,Technical Problem
343,My tracking ID shows delivered but I did not get the package,Order Status
344,Do you provide installation service for appliances?,General Query
345,Why was extra delivery charge added?,Billing Issue
346,Website not loading on my laptop,Technical Problem
347,My tracking ID shows delivered but I did not get the package,Order Status
348,Do you offer gift wrapping service?,General Query
349,My EMI payment failed but money was debited,Billing Issue
350,App shows error while placing order,Technical Problem
351,How can I track my current order?,Order Status
352,Can I schedule delivery at a specific time?,General Query
353,Cashback not credited to my wallet,Billing Issue
354,Cart is not updating when I add items,Technical Problem
355,My tracking ID shows delivered but I did not get the package,Order Status
356,How do I check my Flipkart SuperCoins balance?,General Query
357,Payment deducted but order not confirmed,Billing Issue
358,Login page keeps refreshing automatically,Technical Problem
359,My tracking ID shows delivered but I did not get the package,Order Status
360,Is there any student discount available?,General Query
361,Payment deducted but order not confirmed,Billing Issue
362,OTP is not being received for login,Technical Problem
363,Why is my delivery date postponed?,Order Status
364,Is there any student discount available?,General Query
365,I was charged twice for my order,Billing Issue
366,The Flipkart app crashes on checkout,Technical Problem
367,Estimated delivery keeps changing,Order Status
368,Can I schedule delivery at a specific time?,General Query
369,Payment deducted but order not confirmed,Billing Issue
370,Cart is not updating when I add items,Technical Problem
371,Why is my delivery date postponed?,Order Status
372,How can I become a Flipkart Plus member?,General Query
373,I was charged twice for my order,Billing Issue
374,Website not loading on my laptop,Technical Problem
375,Why is my delivery date postponed?,Order Status
376,What are your customer care working hours?,General Query
377,My EMI payment failed but money was debited,Billing Issue
378,Cart is not updating when I add items,Technical Problem
379,Where is my mobile order? It is delayed,Order Status
380,Do you deliver to small towns in Tamil Nadu?,General Query
381,Cashback not credited to my wallet,Billing Issue
382,App shows error while placing order,Technical Problem
383,Order stuck at warehouse for 3 days,Order Status
384,What is Flipkart Plus membership?,General Query
385,Why was extra delivery charge added?,Billing Issue
386,Unable to update my profile in the app,Technical Problem
387,My tracking ID shows delivered but I did not get the package,Order Status
388,Is there any student discount available?,General Query
389,Why was extra delivery charge added?,Billing Issue
390,Cart is not updating when I add items,Technical Problem
391,Where is my mobile order? It is delayed,Order Status
392,Do you deliver to small towns in Tamil Nadu?,General Query
393,Why am I seeing wrong bill amount in my invoice?,Billing Issue
394,I cannot login with my mobile number,Technical Problem
395,Package is in transit for too long,Order Status
396,What is Flipkart Plus membership?,General Query
397,Payment gateway error during checkout,Billing Issue
398,Website stuck at payment page,Technical Problem
399,Courier details are not updating,Order Status
